user_id,day,day_of_week,amount_spent_today,category,mood_while_spending,days_left_in_month,percent_budget_used_so_far,spending_trend,monthly_budget,overspending_risk
1,1,1,288.8,Other,Impulsive,29,1.16,0.0,25000,Medium
1,2,2,3282.21,Other,Stressed,28,14.28,0.0,25000,Medium
1,3,3,538.22,Other,Impulsive,27,16.44,0.0,25000,Medium
1,4,4,566.01,Other,Stressed,26,18.7,1173.35,25000,Medium
1,5,5,437.61,Shopping,Neutral,25,20.45,-1271.56,25000,Medium
1,6,6,621.44,Shopping,Neutral,24,22.94,-828.06,25000,Medium
1,7,0,534.42,Food,Tired,23,25.07,-637.65,25000,Medium
1,8,1,317.2,Entertainment,Happy,22,26.34,-531.55,25000,Medium
1,9,2,528.58,Transport,Impulsive,21,28.46,-495.65,25000,Medium
1,10,3,692.88,Entertainment,Stressed,20,31.23,-382.64,25000,Medium
1,11,4,867.6,Food,Happy,19,34.7,-126.89,25000,Medium
1,12,5,393.96,Transport,Stressed,18,36.28,-139.02,25000,Medium
1,13,6,803.67,Transport,Happy,17,39.49,-92.33,25000,Medium
1,14,0,900.84,Entertainment,Happy,16,43.09,-89.14,25000,Medium
1,15,1,1513.44,Other,Stressed,15,49.15,316.91,25000,Medium
1,16,2,310.81,Entertainment,Neutral,14,50.39,148.93,25000,Medium
1,17,3,273.6,Other,Neutral,13,51.49,-70.25,25000,Medium
1,18,4,1360.58,Food,Impulsive,12,56.93,-170.8,25000,Medium
1,19,5,1040.35,Shopping,Impulsive,11,61.09,104.15,25000,Medium
1,20,6,402.57,Entertainment,Tired,10,62.7,177.37,25000,Medium
1,21,0,862.06,Other,Happy,9,66.15,-22.33,25000,Medium
1,22,1,2156.99,Other,Stressed,8,74.78,336.74,25000,Medium
1,23,2,2333.87,Other,Impulsive,7,84.11,1000.57,25000,Medium
1,24,3,1126.53,Transport,Stressed,6,88.62,1084.99,25000,Medium
1,25,4,522.29,Food,Happy,5,90.71,477.84,25000,Medium
1,26,5,78.63,Other,Neutral,4,91.02,-338.43,25000,Medium
1,27,6,575.61,Other,Neutral,3,93.32,-530.92,25000,Medium
